T545310,2024-11-09T16:20:08.817190300,9219683212971,43524379251466,560.00,TRANSFER,t,ritankar
C7093,2024-11-09T16:20:26.216842400,9219683212971,9219683212971,67.00,CREDIT,t,t
D600426,2024-11-09T16:20:45.257010200,9219683212971,9219683212971,678.00,DEBIT,t,t
C22891,2024-11-09T16:32:33.248225900,9219683212971,9219683212971,7585.00,CREDIT,t,t
T557660,2024-11-09T16:33:26.450467800,9219683212971,7907699762429,42069.00,TRANSFER,t,ananjan
T999104,2024-11-09T21:52:44.039150900,43524379251466,14089866208833,450.00,TRANSFER,ritankar,mudryk
C286133,2024-11-09T21:53:18.958794200,43524379251466,43524379251466,670.00,CREDIT,ritankar,ritankar
D627291,2024-11-09T21:53:37.326612200,43524379251466,43524379251466,670.01,DEBIT,ritankar,ritankar
C345097,2024-11-09T22:00:47.044840300,27311081520118,27311081520118,1000.00,CREDIT,Demo,Demo
D28299,2024-11-09T22:01:13.372810600,27311081520118,27311081520118,700.00,DEBIT,Demo,Demo
D353898,2024-11-09T22:01:27.285597300,27311081520118,27311081520118,60.00,DEBIT,Demo,Demo
T200495,2024-11-09T22:01:45.997141700,27311081520118,14089866208833,40.00,TRANSFER,Demo,mudryk
C93675,2024-11-09T22:04:00.779982900,11794399053283,11794399053283,10000.00,CREDIT,demo,demo
D938291,2024-11-09T22:04:12.852006600,11794399053283,11794399053283,500.00,DEBIT,demo,demo
D90017,2024-11-09T22:04:25.947752700,11794399053283,11794399053283,1000.00,DEBIT,demo,demo
T316860,2024-11-09T22:04:42.651227100,11794399053283,14089866208833,6700.00,TRANSFER,demo,mudryk
D402543,2024-11-09T22:05:21.996623400,14089866208833,14089866208833,200.00,DEBIT,mudryk,mudryk
C115135,2024-11-09T22:12:14.137667800,66587673542271,66587673542271,1000.00,CREDIT,Demo,Demo
D954289,2024-11-09T22:12:22.963337800,66587673542271,66587673542271,300.00,DEBIT,Demo,Demo
T718663,2024-11-09T22:12:49.000799300,66587673542271,14089866208833,40.00,TRANSFER,Demo,mudryk
C637952,2024-11-09T22:15:49.958413200,77574016945008,77574016945008,10000.00,CREDIT,test,test
D337793,2024-11-09T22:16:02.492105300,77574016945008,77574016945008,2000.00,DEBIT,test,test
T270966,2024-11-09T22:16:19.693494400,77574016945008,97686413475223,400.00,TRANSFER,test,enzo
T221930,2024-11-09T22:16:41.981393300,77574016945008,97686413475223,5000.00,TRANSFER,test,enzo
T730796,2024-11-10T09:44:22.502078800,43524379251466,7151633339652,140.00,TRANSFER,ritankar,nico
